Date,Open,High,Low,Close
12/29/2017,22.65,22.65,22.65,22.65
12/28/2017,22.78,22.78,22.78,22.78
12/27/2017,22.77,22.77,22.77,22.77
12/26/2017,22.68,22.68,22.68,22.68
12/22/2017,22.72,22.72,22.72,22.72
12/21/2017,22.75,22.75,22.75,22.75
12/20/2017,22.7,22.7,22.7,22.7
12/19/2017,22.77,22.77,22.77,22.77
12/18/2017,22.86,22.86,22.86,22.86
12/15/2017,22.74,22.74,22.74,22.74
12/14/2017,22.5,22.5,22.5,22.5
12/13/2017,22.61,22.61,22.61,22.61
12/12/2017,22.61,22.61,22.61,22.61
12/11/2017,22.59,22.59,22.59,22.59
12/8/2017,22.55,22.55,22.55,22.55
12/7/2017,23.9,23.9,23.9,23.9
12/6/2017,23.75,23.75,23.75,23.75
12/5/2017,23.62,23.62,23.62,23.62
12/4/2017,23.58,23.58,23.58,23.58
12/1/2017,23.95,23.95,23.95,23.95
11/30/2017,24.04,24.04,24.04,24.04
11/29/2017,23.76,23.76,23.76,23.76
11/28/2017,24.2,24.2,24.2,24.2
11/27/2017,24.08,24.08,24.08,24.08
11/24/2017,24.32,24.32,24.32,24.32
11/22/2017,24.19,24.19,24.19,24.19
11/21/2017,24.23,24.23,24.23,24.23
11/20/2017,23.95,23.95,23.95,23.95
11/17/2017,23.88,23.88,23.88,23.88
11/16/2017,23.87,23.87,23.87,23.87
11/15/2017,23.51,23.51,23.51,23.51
11/14/2017,23.68,23.68,23.68,23.68
11/13/2017,23.74,23.74,23.74,23.74
11/10/2017,23.66,23.66,23.66,23.66
11/9/2017,23.61,23.61,23.61,23.61
11/8/2017,23.74,23.74,23.74,23.74
11/7/2017,23.69,23.69,23.69,23.69
11/6/2017,23.69,23.69,23.69,23.69
11/3/2017,23.66,23.66,23.66,23.66
11/2/2017,23.52,23.52,23.52,23.52
11/1/2017,23.44,23.44,23.44,23.44
10/31/2017,23.48,23.48,23.48,23.48
10/30/2017,23.42,23.42,23.42,23.42
10/27/2017,23.48,23.48,23.48,23.48
10/26/2017,23.13,23.13,23.13,23.13
10/25/2017,23.01,23.01,23.01,23.01
10/24/2017,23.09,23.09,23.09,23.09
10/23/2017,22.96,22.96,22.96,22.96
10/20/2017,23.09,23.09,23.09,23.09
10/19/2017,22.89,22.89,22.89,22.89
10/18/2017,22.87,22.87,22.87,22.87
10/17/2017,22.83,22.83,22.83,22.83
10/16/2017,22.85,22.85,22.85,22.85
10/13/2017,22.86,22.86,22.86,22.86
10/12/2017,22.83,22.83,22.83,22.83
10/11/2017,22.77,22.77,22.77,22.77
10/10/2017,22.68,22.68,22.68,22.68
10/9/2017,22.62,22.62,22.62,22.62
10/6/2017,22.62,22.62,22.62,22.62
10/5/2017,22.59,22.59,22.59,22.59
10/4/2017,22.46,22.46,22.46,22.46
10/3/2017,22.41,22.41,22.41,22.41
10/2/2017,22.3,22.3,22.3,22.3
9/29/2017,22.24,22.24,22.24,22.24
9/28/2017,22.11,22.11,22.11,22.11
9/27/2017,22.04,22.04,22.04,22.04
9/26/2017,21.89,21.89,21.89,21.89
9/25/2017,21.95,21.95,21.95,21.95
9/22/2017,22.27,22.27,22.27,22.27
9/21/2017,22.3,22.3,22.3,22.3
9/20/2017,22.46,22.46,22.46,22.46
9/19/2017,22.51,22.51,22.51,22.51
9/18/2017,22.5,22.5,22.5,22.5
9/15/2017,22.46,22.46,22.46,22.46
9/14/2017,22.43,22.43,22.43,22.43
9/13/2017,22.47,22.47,22.47,22.47
9/12/2017,22.49,22.49,22.49,22.49
9/11/2017,22.47,22.47,22.47,22.47
9/8/2017,22.2,22.2,22.2,22.2
9/7/2017,22.27,22.27,22.27,22.27
9/6/2017,22.09,22.09,22.09,22.09
9/5/2017,22.05,22.05,22.05,22.05
9/1/2017,22.2,22.2,22.2,22.2
8/31/2017,22.18,22.18,22.18,22.18
8/30/2017,21.97,21.97,21.97,21.97
8/29/2017,21.76,21.76,21.76,21.76
8/28/2017,21.72,21.72,21.72,21.72
8/25/2017,21.67,21.67,21.67,21.67
8/24/2017,21.72,21.72,21.72,21.72
8/23/2017,21.72,21.72,21.72,21.72
8/22/2017,21.79,21.79,21.79,21.79
8/21/2017,21.43,21.43,21.43,21.43
8/18/2017,21.38,21.38,21.38,21.38
8/17/2017,21.38,21.38,21.38,21.38
8/16/2017,21.74,21.74,21.74,21.74
8/15/2017,21.63,21.63,21.63,21.63
8/14/2017,21.6,21.6,21.6,21.6
8/11/2017,21.37,21.37,21.37,21.37
8/10/2017,21.3,21.3,21.3,21.3
8/9/2017,21.74,21.74,21.74,21.74
8/8/2017,21.79,21.79,21.79,21.79
8/7/2017,21.87,21.87,21.87,21.87
8/4/2017,21.75,21.75,21.75,21.75
8/3/2017,21.69,21.69,21.69,21.69
8/2/2017,21.66,21.66,21.66,21.66
8/1/2017,21.6,21.6,21.6,21.6
7/31/2017,21.58,21.58,21.58,21.58
7/28/2017,21.71,21.71,21.71,21.71
7/27/2017,21.64,21.64,21.64,21.64
7/26/2017,21.82,21.82,21.82,21.82
7/25/2017,21.74,21.74,21.74,21.74
7/24/2017,21.67,21.67,21.67,21.67
7/21/2017,21.64,21.64,21.64,21.64
7/20/2017,21.59,21.59,21.59,21.59
7/19/2017,21.58,21.58,21.58,21.58
7/18/2017,21.51,21.51,21.51,21.51
7/17/2017,21.4,21.4,21.4,21.4
7/14/2017,21.39,21.39,21.39,21.39
7/13/2017,21.29,21.29,21.29,21.29
7/12/2017,21.24,21.24,21.24,21.24
7/11/2017,20.96,20.96,20.96,20.96
7/10/2017,20.91,20.91,20.91,20.91
7/7/2017,20.81,20.81,20.81,20.81
7/6/2017,20.65,20.65,20.65,20.65
7/5/2017,20.81,20.81,20.81,20.81
7/3/2017,20.54,20.54,20.54,20.54
6/30/2017,20.64,20.64,20.64,20.64
6/29/2017,20.6,20.6,20.6,20.6
6/28/2017,20.89,20.89,20.89,20.89
6/27/2017,20.59,20.59,20.59,20.59
6/26/2017,20.83,20.83,20.83,20.83
6/23/2017,20.88,20.88,20.88,20.88
6/22/2017,20.8,20.8,20.8,20.8
6/21/2017,20.79,20.79,20.79,20.79
6/20/2017,20.71,20.71,20.71,20.71
6/19/2017,20.91,20.91,20.91,20.91
6/16/2017,20.62,20.62,20.62,20.62
6/15/2017,20.61,20.61,20.61,20.61
6/14/2017,20.7,20.7,20.7,20.7
6/13/2017,20.74,20.74,20.74,20.74
6/12/2017,20.6,20.6,20.6,20.6
6/9/2017,20.69,20.69,20.69,20.69
6/8/2017,20.93,20.93,20.93,20.93
6/7/2017,20.92,20.92,20.92,20.92
6/6/2017,20.8,20.8,20.8,20.8
6/5/2017,20.85,20.85,20.85,20.85
6/2/2017,20.88,20.88,20.88,20.88
6/1/2017,20.73,20.73,20.73,20.73
5/31/2017,20.6,20.6,20.6,20.6
5/30/2017,20.65,20.65,20.65,20.65
5/26/2017,20.67,20.67,20.67,20.67
5/25/2017,20.67,20.67,20.67,20.67
5/24/2017,20.52,20.52,20.52,20.52
5/23/2017,20.41,20.41,20.41,20.41
5/22/2017,20.36,20.36,20.36,20.36
5/19/2017,20.23,20.23,20.23,20.23
5/18/2017,20.06,20.06,20.06,20.06
5/17/2017,19.94,19.94,19.94,19.94
5/16/2017,20.49,20.49,20.49,20.49
5/15/2017,20.45,20.45,20.45,20.45
5/12/2017,20.32,20.32,20.32,20.32
5/11/2017,20.34,20.34,20.34,20.34
5/10/2017,20.4,20.4,20.4,20.4
5/9/2017,20.32,20.32,20.32,20.32
5/8/2017,20.25,20.25,20.25,20.25
5/5/2017,20.29,20.29,20.29,20.29
5/4/2017,20.18,20.18,20.18,20.18
5/3/2017,20.19,20.19,20.19,20.19
5/2/2017,20.27,20.27,20.27,20.27
5/1/2017,20.2,20.2,20.2,20.2
4/28/2017,20.09,20.09,20.09,20.09
4/27/2017,20.1,20.1,20.1,20.1
4/26/2017,20.12,20.12,20.12,20.12
4/25/2017,20.14,20.14,20.14,20.14
4/24/2017,19.93,19.93,19.93,19.93
4/21/2017,19.58,19.58,19.58,19.58
4/20/2017,19.63,19.63,19.63,19.63
4/19/2017,19.43,19.43,19.43,19.43
4/18/2017,19.41,19.41,19.41,19.41
4/17/2017,19.49,19.49,19.49,19.49
4/13/2017,19.3,19.3,19.3,19.3
4/12/2017,19.43,19.43,19.43,19.43
4/11/2017,19.54,19.54,19.54,19.54
4/10/2017,19.57,19.57,19.57,19.57
4/7/2017,19.57,19.57,19.57,19.57
4/6/2017,19.58,19.58,19.58,19.58
4/5/2017,19.55,19.55,19.55,19.55
4/4/2017,19.63,19.63,19.63,19.63
4/3/2017,19.6,19.6,19.6,19.6
3/31/2017,19.65,19.65,19.65,19.65
3/30/2017,19.68,19.68,19.68,19.68
3/29/2017,19.62,19.62,19.62,19.62
3/28/2017,19.59,19.59,19.59,19.59
3/27/2017,19.41,19.41,19.41,19.41
3/24/2017,19.46,19.46,19.46,19.46
3/23/2017,19.48,19.48,19.48,19.48
3/22/2017,19.48,19.48,19.48,19.48
3/21/2017,19.43,19.43,19.43,19.43
3/20/2017,19.83,19.83,19.83,19.83
3/17/2017,19.91,19.91,19.91,19.91
3/16/2017,19.97,19.97,19.97,19.97
3/15/2017,19.96,19.96,19.96,19.96
3/14/2017,19.79,19.79,19.79,19.79
3/13/2017,19.93,19.93,19.93,19.93
3/10/2017,19.89,19.89,19.89,19.89
3/9/2017,19.79,19.79,19.79,19.79
3/8/2017,19.79,19.79,19.79,19.79
3/7/2017,19.77,19.77,19.77,19.77
3/6/2017,19.83,19.83,19.83,19.83
3/3/2017,19.9,19.9,19.9,19.9
3/2/2017,19.81,19.81,19.81,19.81
3/1/2017,20,20,20,20
2/28/2017,19.6,19.6,19.6,19.6
2/27/2017,19.68,19.68,19.68,19.68
2/24/2017,19.58,19.58,19.58,19.58
2/23/2017,19.59,19.59,19.59,19.59
2/22/2017,19.71,19.71,19.71,19.71
2/21/2017,19.74,19.74,19.74,19.74
2/17/2017,19.65,19.65,19.65,19.65
2/16/2017,19.69,19.69,19.69,19.69
2/15/2017,19.74,19.74,19.74,19.74
2/14/2017,19.64,19.64,19.64,19.64
2/13/2017,19.56,19.56,19.56,19.56
2/10/2017,19.44,19.44,19.44,19.44
2/9/2017,19.31,19.31,19.31,19.31
2/8/2017,19.13,19.13,19.13,19.13
2/7/2017,19.14,19.14,19.14,19.14
2/6/2017,19.13,19.13,19.13,19.13
2/3/2017,19.19,19.19,19.19,19.19
2/2/2017,19.06,19.06,19.06,19.06
2/1/2017,19.05,19.05,19.05,19.05
1/31/2017,18.98,18.98,18.98,18.98
1/30/2017,19.03,19.03,19.03,19.03
1/27/2017,19.24,19.24,19.24,19.24
1/26/2017,19.28,19.28,19.28,19.28
1/25/2017,19.26,19.26,19.26,19.26
1/24/2017,19.04,19.04,19.04,19.04
1/23/2017,18.82,18.82,18.82,18.82
1/20/2017,18.88,18.88,18.88,18.88
1/19/2017,18.81,18.81,18.81,18.81
1/18/2017,18.81,18.81,18.81,18.81
1/17/2017,18.74,18.74,18.74,18.74
1/13/2017,18.89,18.89,18.89,18.89
1/12/2017,18.82,18.82,18.82,18.82
1/11/2017,18.81,18.81,18.81,18.81
1/10/2017,18.7,18.7,18.7,18.7
1/9/2017,18.6,18.6,18.6,18.6
1/6/2017,18.69,18.69,18.69,18.69
1/5/2017,18.57,18.57,18.57,18.57
1/4/2017,18.6,18.6,18.6,18.6
1/3/2017,18.37,18.37,18.37,18.37
12/30/2016,18.36,18.36,18.36,18.36
12/29/2016,18.42,18.42,18.42,18.42
12/28/2016,18.46,18.46,18.46,18.46
12/27/2016,18.59,18.59,18.59,18.59
12/23/2016,18.52,18.52,18.52,18.52
12/22/2016,18.5,18.5,18.5,18.5
12/21/2016,18.59,18.59,18.59,18.59
12/20/2016,18.66,18.66,18.66,18.66
12/19/2016,18.52,18.52,18.52,18.52
12/16/2016,18.49,18.49,18.49,18.49
12/15/2016,18.61,18.61,18.61,18.61
12/14/2016,18.53,18.53,18.53,18.53
12/13/2016,18.76,18.76,18.76,18.76
12/12/2016,18.66,18.66,18.66,18.66
12/9/2016,18.77,18.77,18.77,18.77
12/8/2016,18.89,18.89,18.89,18.89
12/7/2016,18.86,18.86,18.86,18.86
12/6/2016,18.59,18.59,18.59,18.59
12/5/2016,18.54,18.54,18.54,18.54
12/2/2016,18.34,18.34,18.34,18.34
12/1/2016,18.34,18.34,18.34,18.34
11/30/2016,18.47,18.47,18.47,18.47
11/29/2016,18.5,18.5,18.5,18.5
11/28/2016,18.47,18.47,18.47,18.47
11/25/2016,18.61,18.61,18.61,18.61
11/23/2016,18.56,18.56,18.56,18.56
11/22/2016,18.55,18.55,18.55,18.55
11/21/2016,18.59,18.59,18.59,18.59
11/18/2016,18.38,18.38,18.38,18.38
11/17/2016,18.48,18.48,18.48,18.48
11/16/2016,18.32,18.32,18.32,18.32
11/15/2016,18.29,18.29,18.29,18.29
11/14/2016,18.11,18.11,18.11,18.11
11/11/2016,18.3,18.3,18.3,18.3
11/10/2016,18.31,18.31,18.31,18.31
11/9/2016,18.55,18.55,18.55,18.55
11/8/2016,18.65,18.65,18.65,18.65
11/7/2016,18.58,18.58,18.58,18.58
11/4/2016,18.19,18.19,18.19,18.19
11/3/2016,18.29,18.29,18.29,18.29
11/2/2016,18.37,18.37,18.37,18.37
11/1/2016,18.5,18.5,18.5,18.5
10/31/2016,18.63,18.63,18.63,18.63
10/28/2016,18.65,18.65,18.65,18.65
10/27/2016,18.73,18.73,18.73,18.73
10/26/2016,18.89,18.89,18.89,18.89
10/25/2016,19.08,19.08,19.08,19.08
10/24/2016,19.19,19.19,19.19,19.19
10/21/2016,19.08,19.08,19.08,19.08
10/20/2016,19.08,19.08,19.08,19.08
10/19/2016,19.14,19.14,19.14,19.14
10/18/2016,19.09,19.09,19.09,19.09
10/17/2016,18.98,18.98,18.98,18.98
10/14/2016,19.05,19.05,19.05,19.05
10/13/2016,19.02,19.02,19.02,19.02
10/12/2016,19.05,19.05,19.05,19.05
10/11/2016,19.01,19.01,19.01,19.01
10/10/2016,19.26,19.26,19.26,19.26
10/7/2016,19.12,19.12,19.12,19.12
10/6/2016,19.19,19.19,19.19,19.19
10/5/2016,19.19,19.19,19.19,19.19
10/4/2016,19.12,19.12,19.12,19.12
10/3/2016,19.21,19.21,19.21,19.21
9/30/2016,19.29,19.29,19.29,19.29
9/29/2016,19.13,19.13,19.13,19.13
9/28/2016,19.3,19.3,19.3,19.3
9/27/2016,19.21,19.21,19.21,19.21
9/26/2016,19.05,19.05,19.05,19.05
9/23/2016,19.14,19.14,19.14,19.14
9/22/2016,19.25,19.25,19.25,19.25
9/21/2016,19.14,19.14,19.14,19.14
9/20/2016,18.84,18.84,18.84,18.84
9/19/2016,18.8,18.8,18.8,18.8
9/16/2016,18.82,18.82,18.82,18.82
9/15/2016,18.88,18.88,18.88,18.88
9/14/2016,18.65,18.65,18.65,18.65
9/13/2016,18.65,18.65,18.65,18.65
9/12/2016,18.93,18.93,18.93,18.93
9/9/2016,18.67,18.67,18.67,18.67
9/8/2016,19.16,19.16,19.16,19.16
9/7/2016,19.24,19.24,19.24,19.24
9/6/2016,19.25,19.25,19.25,19.25
9/2/2016,19.11,19.11,19.11,19.11
9/1/2016,19,19,19,19
8/31/2016,18.95,18.95,18.95,18.95
8/30/2016,19.01,19.01,19.01,19.01
8/29/2016,19.07,19.07,19.07,19.07
8/26/2016,19,19,19,19
8/25/2016,19,19,19,19
8/24/2016,19.02,19.02,19.02,19.02
8/23/2016,19.14,19.14,19.14,19.14
8/22/2016,19.08,19.08,19.08,19.08
8/19/2016,19,19,19,19
8/18/2016,19.03,19.03,19.03,19.03
8/17/2016,18.97,18.97,18.97,18.97
8/16/2016,18.93,18.93,18.93,18.93
8/15/2016,19.06,19.06,19.06,19.06
8/12/2016,19.03,19.03,19.03,19.03
8/11/2016,19,19,19,19
8/10/2016,18.92,18.92,18.92,18.92
8/9/2016,18.91,18.91,18.91,18.91
8/8/2016,18.87,18.87,18.87,18.87
8/5/2016,18.93,18.93,18.93,18.93
8/4/2016,18.96,18.96,18.96,18.96
8/3/2016,18.9,18.9,18.9,18.9
8/2/2016,18.88,18.88,18.88,18.88
8/1/2016,19.02,19.02,19.02,19.02
7/29/2016,19.01,19.01,19.01,19.01
7/28/2016,18.88,18.88,18.88,18.88
7/27/2016,18.75,18.75,18.75,18.75
