Date,Open,High,Low,Close
12/29/2017,14.66,14.66,14.66,14.66
12/28/2017,14.75,14.75,14.75,14.75
12/27/2017,14.73,14.73,14.73,14.73
12/26/2017,14.71,14.71,14.71,14.71
12/22/2017,14.73,14.73,14.73,14.73
12/21/2017,14.74,14.74,14.74,14.74
12/20/2017,14.73,14.73,14.73,14.73
12/19/2017,14.72,14.72,14.72,14.72
12/18/2017,14.76,14.76,14.76,14.76
12/15/2017,14.66,14.66,14.66,14.66
12/14/2017,14.52,14.52,14.52,14.52
12/13/2017,14.58,14.58,14.58,14.58
12/12/2017,14.58,14.58,14.58,14.58
12/11/2017,14.56,14.56,14.56,14.56
12/8/2017,14.51,14.51,14.51,14.51
12/7/2017,14.94,14.94,14.94,14.94
12/6/2017,14.89,14.89,14.89,14.89
12/5/2017,14.9,14.9,14.9,14.9
12/4/2017,14.96,14.96,14.96,14.96
12/1/2017,14.96,14.96,14.96,14.96
11/30/2017,14.98,14.98,14.98,14.98
11/29/2017,14.86,14.86,14.86,14.86
11/28/2017,14.85,14.85,14.85,14.85
11/27/2017,14.7,14.7,14.7,14.7
11/24/2017,14.7,14.7,14.7,14.7
11/22/2017,14.68,14.68,14.68,14.68
11/21/2017,14.69,14.69,14.69,14.69
11/20/2017,14.58,14.58,14.58,14.58
11/17/2017,14.55,14.55,14.55,14.55
11/16/2017,14.61,14.61,14.61,14.61
11/15/2017,14.46,14.46,14.46,14.46
11/14/2017,14.55,14.55,14.55,14.55
11/13/2017,14.56,14.56,14.56,14.56
11/10/2017,14.54,14.54,14.54,14.54
11/9/2017,14.55,14.55,14.55,14.55
11/8/2017,14.6,14.6,14.6,14.6
11/7/2017,14.56,14.56,14.56,14.56
11/6/2017,14.54,14.54,14.54,14.54
11/3/2017,14.52,14.52,14.52,14.52
11/2/2017,14.49,14.49,14.49,14.49
11/1/2017,14.49,14.49,14.49,14.49
10/31/2017,14.47,14.47,14.47,14.47
10/30/2017,14.45,14.45,14.45,14.45
10/27/2017,14.49,14.49,14.49,14.49
10/26/2017,14.37,14.37,14.37,14.37
10/25/2017,14.35,14.35,14.35,14.35
10/24/2017,14.43,14.43,14.43,14.43
