Date,Open,High,Low,Close
12/29/2017,11.31,11.31,11.31,11.31
12/28/2017,11.33,11.33,11.33,11.33
12/27/2017,11.31,11.31,11.31,11.31
12/26/2017,11.27,11.27,11.27,11.27
12/22/2017,11.28,11.28,11.28,11.28
12/21/2017,11.27,11.27,11.27,11.27
12/20/2017,11.22,11.22,11.22,11.22
12/19/2017,11.24,11.24,11.24,11.24
12/18/2017,11.26,11.26,11.26,11.26
12/15/2017,11.35,11.35,11.35,11.35
12/14/2017,11.36,11.36,11.36,11.36
12/13/2017,11.41,11.41,11.41,11.41
12/12/2017,11.39,11.39,11.39,11.39
12/11/2017,11.37,11.37,11.37,11.37
12/8/2017,11.35,11.35,11.35,11.35
12/7/2017,11.27,11.27,11.27,11.27
12/6/2017,11.23,11.23,11.23,11.23
12/5/2017,11.26,11.26,11.26,11.26
12/4/2017,11.29,11.29,11.29,11.29
12/1/2017,11.34,11.34,11.34,11.34
11/30/2017,11.39,11.39,11.39,11.39
11/29/2017,11.41,11.41,11.41,11.41
11/28/2017,11.44,11.44,11.44,11.44
11/27/2017,11.41,11.41,11.41,11.41
11/24/2017,11.48,11.48,11.48,11.48
11/22/2017,11.41,11.41,11.41,11.41
11/21/2017,11.37,11.37,11.37,11.37
11/20/2017,11.29,11.29,11.29,11.29
11/17/2017,11.28,11.28,11.28,11.28
11/16/2017,11.3,11.3,11.3,11.3
11/15/2017,11.19,11.19,11.19,11.19
11/14/2017,11.26,11.26,11.26,11.26
11/13/2017,11.27,11.27,11.27,11.27
11/10/2017,11.32,11.32,11.32,11.32
11/9/2017,11.37,11.37,11.37,11.37
11/8/2017,11.44,11.44,11.44,11.44
11/7/2017,11.41,11.41,11.41,11.41
11/6/2017,11.44,11.44,11.44,11.44
11/3/2017,11.4,11.4,11.4,11.4
11/2/2017,11.41,11.41,11.41,11.41
11/1/2017,11.38,11.38,11.38,11.38
10/31/2017,11.34,11.34,11.34,11.34
10/30/2017,11.3,11.3,11.3,11.3
10/27/2017,11.27,11.27,11.27,11.27
10/26/2017,11.25,11.25,11.25,11.25
