Date,Open,High,Low,Close
12/29/2017,9.64,9.64,9.64,9.64
12/28/2017,9.63,9.63,9.63,9.63
12/27/2017,9.64,9.64,9.64,9.64
12/26/2017,9.61,9.61,9.61,9.61
12/22/2017,9.6,9.6,9.6,9.6
12/21/2017,9.6,9.6,9.6,9.6
12/20/2017,9.59,9.59,9.59,9.59
12/19/2017,9.62,9.62,9.62,9.62
12/18/2017,9.64,9.64,9.64,9.64
12/15/2017,9.66,9.66,9.66,9.66
12/14/2017,9.66,9.66,9.66,9.66
12/13/2017,9.65,9.65,9.65,9.65
12/12/2017,9.63,9.63,9.63,9.63
12/11/2017,9.63,9.63,9.63,9.63
12/8/2017,9.64,9.64,9.64,9.64
12/7/2017,9.64,9.64,9.64,9.64
12/6/2017,9.66,9.66,9.66,9.66
12/5/2017,9.65,9.65,9.65,9.65
12/4/2017,9.64,9.64,9.64,9.64
12/1/2017,9.64,9.64,9.64,9.64
11/30/2017,9.61,9.61,9.61,9.61
11/29/2017,9.63,9.63,9.63,9.63
11/28/2017,9.65,9.65,9.65,9.65
11/27/2017,9.65,9.65,9.65,9.65
11/24/2017,9.65,9.65,9.65,9.65
11/22/2017,9.66,9.66,9.66,9.66
11/21/2017,9.64,9.64,9.64,9.64
11/20/2017,9.63,9.63,9.63,9.63
11/17/2017,9.64,9.64,9.64,9.64
11/16/2017,9.63,9.63,9.63,9.63
11/15/2017,9.64,9.64,9.64,9.64
11/14/2017,9.63,9.63,9.63,9.63
11/13/2017,9.62,9.62,9.62,9.62
11/10/2017,9.62,9.62,9.62,9.62
11/9/2017,9.65,9.65,9.65,9.65
11/8/2017,9.66,9.66,9.66,9.66
11/7/2017,9.67,9.67,9.67,9.67
11/6/2017,9.67,9.67,9.67,9.67
11/3/2017,9.67,9.67,9.67,9.67
11/2/2017,9.66,9.66,9.66,9.66
11/1/2017,9.65,9.65,9.65,9.65
10/31/2017,9.65,9.65,9.65,9.65
10/30/2017,9.66,9.66,9.66,9.66
10/27/2017,9.63,9.63,9.63,9.63
10/26/2017,9.61,9.61,9.61,9.61
10/25/2017,9.62,9.62,9.62,9.62
10/24/2017,9.63,9.63,9.63,9.63
10/23/2017,9.65,9.65,9.65,9.65
10/20/2017,9.64,9.64,9.64,9.64
10/19/2017,9.67,9.67,9.67,9.67
10/18/2017,9.66,9.66,9.66,9.66
10/17/2017,9.68,9.68,9.68,9.68
10/16/2017,9.68,9.68,9.68,9.68
10/13/2017,9.69,9.69,9.69,9.69
10/11/2017,9.66,9.66,9.66,9.66
10/10/2017,9.66,9.66,9.66,9.66
10/9/2017,9.66,9.66,9.66,9.66
10/6/2017,9.65,9.65,9.65,9.65
10/5/2017,9.66,9.66,9.66,9.66
10/4/2017,9.67,9.67,9.67,9.67
10/3/2017,9.67,9.67,9.67,9.67
10/2/2017,9.66,9.66,9.66,9.66
9/29/2017,9.66,9.66,9.66,9.66
9/28/2017,9.67,9.67,9.67,9.67
9/27/2017,9.66,9.66,9.66,9.66
9/26/2017,9.69,9.69,9.69,9.69
9/25/2017,9.7,9.7,9.7,9.7
9/22/2017,9.68,9.68,9.68,9.68
9/21/2017,9.67,9.67,9.67,9.67
9/20/2017,9.68,9.68,9.68,9.68
9/19/2017,9.68,9.68,9.68,9.68
9/18/2017,9.68,9.68,9.68,9.68
9/15/2017,9.69,9.69,9.69,9.69
9/14/2017,9.7,9.7,9.7,9.7
9/13/2017,9.69,9.69,9.69,9.69
9/12/2017,9.7,9.7,9.7,9.7
9/11/2017,9.71,9.71,9.71,9.71
9/8/2017,9.74,9.74,9.74,9.74
9/7/2017,9.76,9.76,9.76,9.76
9/6/2017,9.73,9.73,9.73,9.73
9/5/2017,9.75,9.75,9.75,9.75
9/1/2017,9.71,9.71,9.71,9.71
8/31/2017,9.72,9.72,9.72,9.72
8/30/2017,9.72,9.72,9.72,9.72
8/29/2017,9.72,9.72,9.72,9.72
8/28/2017,9.71,9.71,9.71,9.71
8/25/2017,9.71,9.71,9.71,9.71
8/24/2017,9.7,9.7,9.7,9.7
8/23/2017,9.71,9.71,9.71,9.71
8/22/2017,9.69,9.69,9.69,9.69
8/21/2017,9.7,9.7,9.7,9.7
8/18/2017,9.7,9.7,9.7,9.7
8/17/2017,9.7,9.7,9.7,9.7
8/16/2017,9.68,9.68,9.68,9.68
8/15/2017,9.67,9.67,9.67,9.67
8/14/2017,9.68,9.68,9.68,9.68
8/11/2017,9.69,9.69,9.69,9.69
8/10/2017,9.69,9.69,9.69,9.69
8/9/2017,9.68,9.68,9.68,9.68
8/8/2017,9.67,9.67,9.67,9.67
8/7/2017,9.69,9.69,9.69,9.69
8/4/2017,9.69,9.69,9.69,9.69
8/3/2017,9.71,9.71,9.71,9.71
8/2/2017,9.69,9.69,9.69,9.69
8/1/2017,9.7,9.7,9.7,9.7
7/31/2017,9.68,9.68,9.68,9.68
7/28/2017,9.67,9.67,9.67,9.67
7/27/2017,9.66,9.66,9.66,9.66
7/26/2017,9.67,9.67,9.67,9.67
7/25/2017,9.65,9.65,9.65,9.65
7/24/2017,9.69,9.69,9.69,9.69
7/21/2017,9.7,9.7,9.7,9.7
7/20/2017,9.68,9.68,9.68,9.68
7/19/2017,9.68,9.68,9.68,9.68
7/18/2017,9.68,9.68,9.68,9.68
7/17/2017,9.66,9.66,9.66,9.66
7/14/2017,9.65,9.65,9.65,9.65
7/13/2017,9.64,9.64,9.64,9.64
7/12/2017,9.65,9.65,9.65,9.65
7/11/2017,9.63,9.63,9.63,9.63
7/10/2017,9.62,9.62,9.62,9.62
7/7/2017,9.62,9.62,9.62,9.62
7/6/2017,9.63,9.63,9.63,9.63
7/5/2017,9.64,9.64,9.64,9.64
7/3/2017,9.63,9.63,9.63,9.63
6/30/2017,9.65,9.65,9.65,9.65
6/29/2017,9.67,9.67,9.67,9.67
6/28/2017,9.68,9.68,9.68,9.68
6/27/2017,9.69,9.69,9.69,9.69
6/26/2017,9.72,9.72,9.72,9.72
6/23/2017,9.71,9.71,9.71,9.71
6/22/2017,9.71,9.71,9.71,9.71
6/21/2017,9.7,9.7,9.7,9.7
6/20/2017,9.7,9.7,9.7,9.7
6/19/2017,9.68,9.68,9.68,9.68
6/16/2017,9.69,9.69,9.69,9.69
6/15/2017,9.69,9.69,9.69,9.69
6/14/2017,9.7,9.7,9.7,9.7
6/13/2017,9.66,9.66,9.66,9.66
6/12/2017,9.66,9.66,9.66,9.66
6/9/2017,9.67,9.67,9.67,9.67
6/8/2017,9.67,9.67,9.67,9.67
6/7/2017,9.68,9.68,9.68,9.68
6/6/2017,9.7,9.7,9.7,9.7
6/5/2017,9.68,9.68,9.68,9.68
6/2/2017,9.69,9.69,9.69,9.69
6/1/2017,9.66,9.66,9.66,9.66
5/31/2017,9.67,9.67,9.67,9.67
5/30/2017,9.66,9.66,9.66,9.66
5/26/2017,9.65,9.65,9.65,9.65
5/25/2017,9.65,9.65,9.65,9.65
5/24/2017,9.65,9.65,9.65,9.65
5/23/2017,9.63,9.63,9.63,9.63
5/22/2017,9.65,9.65,9.65,9.65
5/19/2017,9.66,9.66,9.66,9.66
5/18/2017,9.66,9.66,9.66,9.66
5/17/2017,9.66,9.66,9.66,9.66
5/16/2017,9.62,9.62,9.62,9.62
5/15/2017,9.61,9.61,9.61,9.61
5/12/2017,9.61,9.61,9.61,9.61
5/11/2017,9.58,9.58,9.58,9.58
5/10/2017,9.58,9.58,9.58,9.58
5/9/2017,9.58,9.58,9.58,9.58
5/8/2017,9.58,9.58,9.58,9.58
5/5/2017,9.6,9.6,9.6,9.6
5/4/2017,9.6,9.6,9.6,9.6
5/3/2017,9.61,9.61,9.61,9.61
5/2/2017,9.62,9.62,9.62,9.62
5/1/2017,9.6,9.6,9.6,9.6
4/28/2017,9.62,9.62,9.62,9.62
4/27/2017,9.62,9.62,9.62,9.62
4/26/2017,9.61,9.61,9.61,9.61
4/25/2017,9.59,9.59,9.59,9.59
4/24/2017,9.63,9.63,9.63,9.63
4/21/2017,9.64,9.64,9.64,9.64
4/20/2017,9.64,9.64,9.64,9.64
4/19/2017,9.65,9.65,9.65,9.65
4/18/2017,9.67,9.67,9.67,9.67
4/17/2017,9.63,9.63,9.63,9.63
4/13/2017,9.64,9.64,9.64,9.64
4/12/2017,9.63,9.63,9.63,9.63
4/11/2017,9.62,9.62,9.62,9.62
4/10/2017,9.59,9.59,9.59,9.59
4/7/2017,9.58,9.58,9.58,9.58
4/6/2017,9.6,9.6,9.6,9.6
4/5/2017,9.6,9.6,9.6,9.6
4/4/2017,9.59,9.59,9.59,9.59
4/3/2017,9.6,9.6,9.6,9.6
3/31/2017,9.57,9.57,9.57,9.57
3/30/2017,9.56,9.56,9.56,9.56
3/29/2017,9.58,9.58,9.58,9.58
3/28/2017,9.56,9.56,9.56,9.56
3/27/2017,9.58,9.58,9.58,9.58
3/24/2017,9.57,9.57,9.57,9.57
3/23/2017,9.56,9.56,9.56,9.56
3/22/2017,9.57,9.57,9.57,9.57
3/21/2017,9.56,9.56,9.56,9.56
3/20/2017,9.54,9.54,9.54,9.54
3/17/2017,9.53,9.53,9.53,9.53
3/16/2017,9.51,9.51,9.51,9.51
3/15/2017,9.52,9.52,9.52,9.52
3/14/2017,9.48,9.48,9.48,9.48
3/13/2017,9.47,9.47,9.47,9.47
3/10/2017,9.49,9.49,9.49,9.49
3/9/2017,9.48,9.48,9.48,9.48
3/8/2017,9.51,9.51,9.51,9.51
3/7/2017,9.53,9.53,9.53,9.53
3/6/2017,9.55,9.55,9.55,9.55
3/3/2017,9.55,9.55,9.55,9.55
3/2/2017,9.55,9.55,9.55,9.55
3/1/2017,9.56,9.56,9.56,9.56
2/28/2017,9.6,9.6,9.6,9.6
2/27/2017,9.6,9.6,9.6,9.6
2/24/2017,9.62,9.62,9.62,9.62
2/23/2017,9.59,9.59,9.59,9.59
2/22/2017,9.58,9.58,9.58,9.58
2/21/2017,9.57,9.57,9.57,9.57
2/17/2017,9.58,9.58,9.58,9.58
2/16/2017,9.56,9.56,9.56,9.56
2/15/2017,9.54,9.54,9.54,9.54
2/14/2017,9.55,9.55,9.55,9.55
2/13/2017,9.57,9.57,9.57,9.57
2/10/2017,9.58,9.58,9.58,9.58
2/9/2017,9.58,9.58,9.58,9.58
2/8/2017,9.61,9.61,9.61,9.61
2/7/2017,9.58,9.58,9.58,9.58
2/6/2017,9.57,9.57,9.57,9.57
2/3/2017,9.55,9.55,9.55,9.55
2/2/2017,9.55,9.55,9.55,9.55
2/1/2017,9.54,9.54,9.54,9.54
1/31/2017,9.56,9.56,9.56,9.56
1/30/2017,9.54,9.54,9.54,9.54
1/27/2017,9.55,9.55,9.55,9.55
1/26/2017,9.54,9.54,9.54,9.54
1/25/2017,9.53,9.53,9.53,9.53
1/24/2017,9.56,9.56,9.56,9.56
1/23/2017,9.59,9.59,9.59,9.59
1/20/2017,9.55,9.55,9.55,9.55
1/19/2017,9.55,9.55,9.55,9.55
1/18/2017,9.57,9.57,9.57,9.57
1/17/2017,9.62,9.62,9.62,9.62
1/13/2017,9.59,9.59,9.59,9.59
1/12/2017,9.6,9.6,9.6,9.6
1/11/2017,9.6,9.6,9.6,9.6
1/10/2017,9.6,9.6,9.6,9.6
1/9/2017,9.6,9.6,9.6,9.6
1/6/2017,9.58,9.58,9.58,9.58
1/5/2017,9.61,9.61,9.61,9.61
1/4/2017,9.56,9.56,9.56,9.56
1/3/2017,9.56,9.56,9.56,9.56
12/30/2016,9.55,9.55,9.55,9.55
12/29/2016,9.54,9.54,9.54,9.54
12/28/2016,9.52,9.52,9.52,9.52
12/27/2016,9.49,9.49,9.49,9.49
12/23/2016,9.51,9.51,9.51,9.51
12/22/2016,9.5,9.5,9.5,9.5
12/21/2016,9.5,9.5,9.5,9.5
12/20/2016,9.49,9.49,9.49,9.49
12/19/2016,9.51,9.51,9.51,9.51
12/16/2016,9.47,9.47,9.47,9.47
12/15/2016,9.47,9.47,9.47,9.47
12/14/2016,9.48,9.48,9.48,9.48
12/13/2016,9.53,9.53,9.53,9.53
12/12/2016,9.53,9.53,9.53,9.53
12/9/2016,9.53,9.53,9.53,9.53
12/8/2016,9.56,9.56,9.56,9.56
12/7/2016,9.58,9.58,9.58,9.58
12/6/2016,9.56,9.56,9.56,9.56
12/5/2016,9.56,9.56,9.56,9.56
12/2/2016,9.56,9.56,9.56,9.56
12/1/2016,9.54,9.54,9.54,9.54
11/30/2016,9.56,9.56,9.56,9.56
11/29/2016,9.59,9.59,9.59,9.59
11/28/2016,9.59,9.59,9.59,9.59
11/25/2016,9.56,9.56,9.56,9.56
11/23/2016,9.56,9.56,9.56,9.56
11/22/2016,9.58,9.58,9.58,9.58
11/21/2016,9.58,9.58,9.58,9.58
11/18/2016,9.58,9.58,9.58,9.58
11/17/2016,9.61,9.61,9.61,9.61
11/16/2016,9.64,9.64,9.64,9.64
11/15/2016,9.62,9.62,9.62,9.62
11/14/2016,9.62,9.62,9.62,9.62
11/11/2016,9.65,9.65,9.65,9.65
11/10/2016,9.66,9.66,9.66,9.66
11/9/2016,9.69,9.69,9.69,9.69
11/8/2016,9.78,9.78,9.78,9.78
11/7/2016,9.8,9.8,9.8,9.8
11/4/2016,9.82,9.82,9.82,9.82
11/3/2016,9.8,9.8,9.8,9.8
11/2/2016,9.82,9.82,9.82,9.82
11/1/2016,9.81,9.81,9.81,9.81
10/31/2016,9.81,9.81,9.81,9.81
10/28/2016,9.8,9.8,9.8,9.8
10/27/2016,9.8,9.8,9.8,9.8
10/26/2016,9.83,9.83,9.83,9.83
10/25/2016,9.84,9.84,9.84,9.84
10/24/2016,9.84,9.84,9.84,9.84
10/21/2016,9.85,9.85,9.85,9.85
10/20/2016,9.85,9.85,9.85,9.85
10/19/2016,9.85,9.85,9.85,9.85
10/18/2016,9.85,9.85,9.85,9.85
10/17/2016,9.84,9.84,9.84,9.84
10/14/2016,9.82,9.82,9.82,9.82
10/13/2016,9.85,9.85,9.85,9.85
10/12/2016,9.84,9.84,9.84,9.84
10/11/2016,9.83,9.83,9.83,9.83
10/10/2016,9.83,9.83,9.83,9.83
10/7/2016,9.85,9.85,9.85,9.85
10/6/2016,9.85,9.85,9.85,9.85
10/5/2016,9.86,9.86,9.86,9.86
10/4/2016,9.87,9.87,9.87,9.87
