Date,Open,High,Low,Close
12/29/2017,12.23,12.23,12.23,12.23
12/28/2017,12.23,12.23,12.23,12.23
12/27/2017,12.24,12.24,12.24,12.24
12/26/2017,12.2,12.2,12.2,12.2
12/22/2017,12.3,12.3,12.3,12.3
12/21/2017,12.29,12.29,12.29,12.29
12/20/2017,12.29,12.29,12.29,12.29
12/19/2017,12.31,12.31,12.31,12.31
12/18/2017,12.34,12.34,12.34,12.34
12/15/2017,12.34,12.34,12.34,12.34
12/14/2017,12.34,12.34,12.34,12.34
12/13/2017,12.33,12.33,12.33,12.33
12/12/2017,12.32,12.32,12.32,12.32
12/11/2017,12.33,12.33,12.33,12.33
12/8/2017,12.33,12.33,12.33,12.33
12/7/2017,12.32,12.32,12.32,12.32
12/6/2017,12.34,12.34,12.34,12.34
12/5/2017,12.33,12.33,12.33,12.33
12/4/2017,12.31,12.31,12.31,12.31
12/1/2017,12.33,12.33,12.33,12.33
11/30/2017,12.3,12.3,12.3,12.3
11/29/2017,12.31,12.31,12.31,12.31
11/28/2017,12.33,12.33,12.33,12.33
11/27/2017,12.34,12.34,12.34,12.34
11/24/2017,12.33,12.33,12.33,12.33
11/22/2017,12.33,12.33,12.33,12.33
11/21/2017,12.31,12.31,12.31,12.31
11/20/2017,12.3,12.3,12.3,12.3
11/17/2017,12.3,12.3,12.3,12.3
11/16/2017,12.29,12.29,12.29,12.29
11/15/2017,12.29,12.29,12.29,12.29
11/14/2017,12.28,12.28,12.28,12.28
11/13/2017,12.29,12.29,12.29,12.29
11/10/2017,12.29,12.29,12.29,12.29
11/9/2017,12.32,12.32,12.32,12.32
11/8/2017,12.34,12.34,12.34,12.34
11/7/2017,12.35,12.35,12.35,12.35
11/6/2017,12.34,12.34,12.34,12.34
11/3/2017,12.32,12.32,12.32,12.32
11/2/2017,12.33,12.33,12.33,12.33
11/1/2017,12.31,12.31,12.31,12.31
10/31/2017,12.31,12.31,12.31,12.31
10/30/2017,12.3,12.3,12.3,12.3
10/27/2017,12.29,12.29,12.29,12.29
10/26/2017,12.26,12.26,12.26,12.26
10/25/2017,12.27,12.27,12.27,12.27
10/24/2017,12.27,12.27,12.27,12.27
10/23/2017,12.29,12.29,12.29,12.29
10/20/2017,12.29,12.29,12.29,12.29
10/19/2017,12.31,12.31,12.31,12.31
10/18/2017,12.3,12.3,12.3,12.3
10/17/2017,12.32,12.32,12.32,12.32
10/16/2017,12.32,12.32,12.32,12.32
10/13/2017,12.31,12.31,12.31,12.31
10/12/2017,12.29,12.29,12.29,12.29
10/11/2017,12.28,12.28,12.28,12.28
10/10/2017,12.28,12.28,12.28,12.28
10/9/2017,12.27,12.27,12.27,12.27
10/6/2017,12.27,12.27,12.27,12.27
10/5/2017,12.28,12.28,12.28,12.28
10/4/2017,12.29,12.29,12.29,12.29
10/3/2017,12.28,12.28,12.28,12.28
10/2/2017,12.28,12.28,12.28,12.28
9/29/2017,12.27,12.27,12.27,12.27
9/28/2017,12.26,12.26,12.26,12.26
9/27/2017,12.27,12.27,12.27,12.27
9/26/2017,12.3,12.3,12.3,12.3
9/25/2017,12.31,12.31,12.31,12.31
9/22/2017,12.3,12.3,12.3,12.3
9/21/2017,12.29,12.29,12.29,12.29
9/20/2017,12.29,12.29,12.29,12.29
9/19/2017,12.29,12.29,12.29,12.29
9/18/2017,12.29,12.29,12.29,12.29
9/15/2017,12.31,12.31,12.31,12.31
9/14/2017,12.31,12.31,12.31,12.31
9/13/2017,12.31,12.31,12.31,12.31
9/12/2017,12.32,12.32,12.32,12.32
9/11/2017,12.35,12.35,12.35,12.35
9/8/2017,12.36,12.36,12.36,12.36
9/7/2017,12.37,12.37,12.37,12.37
9/6/2017,12.36,12.36,12.36,12.36
9/5/2017,12.38,12.38,12.38,12.38
9/1/2017,12.35,12.35,12.35,12.35
8/31/2017,12.36,12.36,12.36,12.36
8/30/2017,12.36,12.36,12.36,12.36
8/29/2017,12.36,12.36,12.36,12.36
8/28/2017,12.34,12.34,12.34,12.34
8/25/2017,12.34,12.34,12.34,12.34
8/24/2017,12.34,12.34,12.34,12.34
8/23/2017,12.34,12.34,12.34,12.34
8/22/2017,12.33,12.33,12.33,12.33
8/21/2017,12.34,12.34,12.34,12.34
8/18/2017,12.33,12.33,12.33,12.33
8/17/2017,12.33,12.33,12.33,12.33
8/16/2017,12.32,12.32,12.32,12.32
8/15/2017,12.32,12.32,12.32,12.32
8/14/2017,12.32,12.32,12.32,12.32
8/11/2017,12.33,12.33,12.33,12.33
8/10/2017,12.33,12.33,12.33,12.33
8/9/2017,12.32,12.32,12.32,12.32
8/8/2017,12.3,12.3,12.3,12.3
8/7/2017,12.31,12.31,12.31,12.31
8/4/2017,12.31,12.31,12.31,12.31
8/3/2017,12.31,12.31,12.31,12.31
8/2/2017,12.29,12.29,12.29,12.29
8/1/2017,12.29,12.29,12.29,12.29
7/31/2017,12.26,12.26,12.26,12.26
7/28/2017,12.26,12.26,12.26,12.26
7/27/2017,12.27,12.27,12.27,12.27
7/26/2017,12.26,12.26,12.26,12.26
7/25/2017,12.26,12.26,12.26,12.26
7/24/2017,12.29,12.29,12.29,12.29
7/21/2017,12.29,12.29,12.29,12.29
7/20/2017,12.28,12.28,12.28,12.28
