Date, Open,High,Low,Close
12/29/2017,6439.9,6442.53,6396.42,6396.42
12/28/2017,6449.52,6452.07,6432.68,6441.42
12/27/2017,6437.06,6448.94,6425.92,6435.15
12/26/2017,6427.32,6438.24,6407.99,6433.16
12/22/2017,6462.55,6467.83,6449,6465.17
12/21/2017,6481.08,6501.52,6467.78,6472.69
12/20/2017,6504.55,6504.55,6447.93,6472.48
12/19/2017,6505.35,6510.87,6462.79,6480.67
12/18/2017,6504.89,6522.7,6495.18,6513.27
12/15/2017,6405.15,6470.92,6405.03,6466.32
12/14/2017,6407.25,6423.68,6386.25,6389.91
12/13/2017,6405.41,6416.83,6388.41,6394.67
12/12/2017,6389.47,6403.5,6371.69,6383.65
12/11/2017,6351.24,6394.43,6347.91,6393.89
12/8/2017,6364.6,6377.55,6335.23,6344.57
12/7/2017,6300.64,6333.29,6290.65,6316.28
12/6/2017,6243.72,6304.1,6234.22,6293.05
12/5/2017,6242.47,6337.06,6235.77,6265.11
12/4/2017,6380.68,6380.77,6256.81,6263.7
12/1/2017,6325.61,6365.3,6244.84,6337.87
11/30/2017,6337.34,6374.19,6321.43,6365.56
11/29/2017,6412.69,6412.69,6279.36,6311.37
11/28/2017,6419.48,6426.04,6385.32,6422.56
11/27/2017,6409.52,6420.21,6392.01,6405.97
11/24/2017,6393.33,6410.77,6389.4,6409.29
11/22/2017,6384.13,6391.16,6371.74,6386.12
11/21/2017,6336.91,6380.07,6336.26,6378.63
11/20/2017,6319.57,6324.59,6301.88,6308.61
11/17/2017,6343.64,6345.56,6308.48,6314.51
11/16/2017,6293.46,6352.47,6293.46,6339.14
11/15/2017,6261.27,6276.8,6227.99,6258.36
11/14/2017,6293.33,6300.46,6263.77,6293.64
11/13/2017,6286.01,6325.18,6285.97,6316.18
11/10/2017,6297.15,6313.17,6284.22,6309.07
11/9/2017,6295.29,6315.16,6248.29,6312.21
11/8/2017,6319.03,6346.98,6308.62,6345.81
11/7/2017,6314.69,6328.58,6299.53,6320.78
11/6/2017,6292.15,6318.58,6291.84,6313.61
11/3/2017,6266.19,6297.62,6237.65,6295.58
11/2/2017,6238.29,6243.74,6194.58,6236.39
11/1/2017,6274.26,6276.66,6224.58,6248.65
10/31/2017,6241.88,6258.42,6229.15,6248.56
10/30/2017,6209.8,6250.85,6202.53,6227.59
10/27/2017,6138.23,6223.51,6129.79,6213.47
10/26/2017,6056.05,6066.61,6035.95,6037.87
10/25/2017,6069.35,6087.58,6011.24,6055.04
10/24/2017,6078.02,6090.89,6057.69,6080.22
10/23/2017,6122.24,6122.24,6061.08,6067.83
10/20/2017,6114.46,6122.56,6102.16,6108.82
10/19/2017,6074.28,6092.87,6051.47,6092.62
10/18/2017,6128.91,6129.49,6106.85,6114.35
10/17/2017,6111.32,6122.82,6103.66,6122.61
10/16/2017,6108.66,6115.53,6095.63,6114.53
10/13/2017,6094.72,6100.06,6087.03,6092.45
10/12/2017,6072.21,6093.76,6063.47,6069.99
10/11/2017,6062.73,6082.25,6052.44,6081.25
10/10/2017,6078.27,6084.14,6036.72,6063.52
10/9/2017,6071.96,6078.8,6051.33,6058.53
10/6/2017,6037.44,6064.67,6037.02,6064.57
10/5/2017,6018.27,6059.21,6014.77,6057.14
10/4/2017,5983.31,6009.81,5976.12,5998.84
10/3/2017,5986.85,5999.19,5976.65,5995.06
10/2/2017,5988.96,6005.2,5955.83,5981.92
9/29/2017,5941.78,5980.22,5930.82,5979.3
9/28/2017,5920.65,5939.22,5908.62,5933.07
9/27/2017,5912.96,5957.75,5900.35,5937.79
9/26/2017,5893.18,5908.47,5862.99,5881.34
9/25/2017,5904.06,5908.57,5839.89,5867.35
9/22/2017,5912.19,5937.59,5911.48,5932.32
9/21/2017,5965.6,5965.6,5915.74,5934.91
9/20/2017,5987.72,5994.53,5927.7,5973.6
9/19/2017,5991.93,5998.24,5971.17,5991.08
9/18/2017,5997.51,6012.95,5963.17,5981.12
9/15/2017,5965.66,6009.44,5957.85,5988
9/14/2017,5981.85,5997.23,5965.06,5968.82
9/13/2017,5982.85,6004.47,5974.88,6004.38
9/12/2017,5998.74,6002.97,5968.09,5995.64
9/11/2017,5962.35,5990.87,5960.87,5980.53
9/8/2017,5957.19,5958.81,5907.96,5913.37
9/7/2017,5960.44,5980.15,5943.89,5964.31
9/6/2017,5949.54,5964.38,5909.92,5951.13
9/5/2017,5966.64,5980.91,5890.25,5932.73
9/1/2017,6001.82,6009.61,5972.27,5987.9
8/31/2017,5948.74,5995.45,5945.95,5988.6
8/30/2017,5870.88,5940.57,5865.34,5932.9
8/29/2017,5785.29,5871.79,5785.22,5862.14
8/28/2017,5839.27,5852.8,5821.87,5838.08
8/25/2017,5854.31,5870.47,5815.6,5822.53
8/24/2017,5863.99,5871.87,5802.77,5817.69
8/23/2017,5842.16,5864.78,5840.71,5851.78
8/22/2017,5817.29,5879,5817.02,5873.33
8/21/2017,5791.04,5804.3,5750.5,5786.54
8/18/2017,5803.9,5831.08,5770.14,5790.91
8/17/2017,5896.31,5903.87,5796.32,5796.32
8/16/2017,5920.68,5944.98,5899.56,5917.42
8/15/2017,5917.29,5919.75,5893.85,5907.73
8/14/2017,5878.64,5916.33,5878,5908.17
8/11/2017,5792.32,5844.61,5785.26,5831.53
8/10/2017,5880.13,5887.27,5783.36,5788.19
8/9/2017,5879.55,5920.96,5866.17,5919.39
8/8/2017,5922.64,5972.93,5910.5,5926.35
8/7/2017,5909.45,5936.79,5903.75,5934.73
8/4/2017,5899.69,5912.56,5877.06,5899.91
8/3/2017,5915.73,5917.47,5879.72,5891.2
8/2/2017,5934.07,5936.15,5859.62,5914.23
8/1/2017,5900.64,5905.29,5880.45,5895.17
7/31/2017,5928.68,5932.37,5871.79,5880.33
7/28/2017,5883.7,5918.31,5868.92,5908.92
7/27/2017,5994.02,5995.77,5847.05,5917.03
7/26/2017,5944.16,5954.38,5939.17,5950.73
7/25/2017,5927.1,5945.06,5916.29,5930.65
7/24/2017,5920.93,5950.58,5912.74,5941.37
7/21/2017,5905.6,5921.52,5890.25,5921.52
7/20/2017,5929.58,5932.61,5896.61,5921.22
7/19/2017,5898.4,5922.37,5895.54,5916.16
7/18/2017,5832.92,5880.55,5818.2,5880.1
7/17/2017,5845.82,5860.64,5830.25,5839.74
7/14/2017,5815.04,5844.8,5799.85,5838.08
7/13/2017,5785.32,5806.18,5776.62,5793.36
7/12/2017,5757.2,5785,5749.65,5778.95
7/11/2017,5687.03,5717.91,5667.27,5709.8
7/10/2017,5662.71,5708.62,5650.26,5694.15
7/7/2017,5618.85,5673.02,5618.85,5656.47
7/6/2017,5606.42,5628.84,5579.64,5597.9
7/5/2017,5611,5663.6,5593.66,5648.82
7/3/2017,5680.36,5684.98,5592.53,5596.96
6/30/2017,5676.4,5681.9,5637.74,5646.92
6/29/2017,5723.31,5723.66,5599.44,5653.02
6/28/2017,5693.48,5757.23,5660.53,5753.03
6/27/2017,5752.72,5761.04,5671.6,5671.6
6/26/2017,5832.31,5845.15,5765.87,5777.59
6/23/2017,5775.03,5810.31,5759.7,5803.11
6/22/2017,5787.43,5802.46,5767.87,5779.87
6/21/2017,5740.58,5784.92,5737.01,5782.39
6/20/2017,5762.99,5772.17,5725.01,5726.31
6/19/2017,5729.54,5776.37,5724.49,5772.22
6/16/2017,5694.21,5695.74,5656.62,5681.48
6/15/2017,5661.36,5707.37,5634.58,5700.89
6/14/2017,5774.12,5774.19,5682.35,5727.07
6/13/2017,5740.21,5760.54,5709.17,5751.82
6/12/2017,5677.16,5716.2,5633.34,5708.18
6/9/2017,5891.67,5897.69,5657.76,5741.94
6/8/2017,5894.75,5895.18,5852.65,5885.3
6/7/2017,5871.77,5883.19,5845.96,5877.59
6/6/2017,5869.48,5890.88,5848.32,5856.77
6/5/2017,5881.21,5888.92,5871.09,5878.12
6/2/2017,5834.41,5881.46,5825.74,5881.46
6/1/2017,5804.17,5816.6,5779.89,5816.51
5/31/2017,5812.97,5813.26,5762.56,5788.8
5/30/2017,5785.38,5799.99,5781.37,5794.63
5/26/2017,5782.17,5790.19,5771.71,5788.36
5/25/2017,5748.29,5793.13,5738.82,5778.37
5/24/2017,5720.83,5732.57,5705.17,5730.3
5/23/2017,5714.94,5716.55,5690.2,5703.35
5/22/2017,5662.95,5701.05,5661.59,5699.4
5/19/2017,5640.71,5673.63,5640.68,5651.56
5/18/2017,5569.81,5645.08,5568.47,5626.31
5/17/2017,5673.62,5688.74,5578.16,5580.55
5/16/2017,5715.15,5724.71,5699.41,5724.44
5/15/2017,5687.97,5706.61,5683.1,5704.48
5/12/2017,5683.58,5687.42,5672.03,5686.81
5/11/2017,5662.59,5675.5,5637.4,5674.22
5/10/2017,5681.33,5683.64,5661.44,5681.68
5/9/2017,5667.98,5691.21,5664,5678.31
5/8/2017,5649.18,5659.07,5638,5659.07
5/5/2017,5640.78,5646.09,5619.6,5646.09
5/4/2017,5623.57,5633.49,5606.05,5626.32
5/3/2017,5624.87,5629.78,5608.16,5625.16
5/2/2017,5642.41,5645.08,5625.49,5644.07
5/1/2017,5602.44,5640.48,5600.31,5629.63
4/28/2017,5598.47,5600,5575.21,5583.53
4/27/2017,5555.27,5573.26,5551.55,5571.28
4/26/2017,5553.6,5563.97,5537.99,5541.09
4/25/2017,5523.48,5557.93,5521.52,5548.19
4/24/2017,5503.27,5513.57,5494.46,5508.03
4/21/2017,5447.28,5450.81,5430.22,5442.05
4/20/2017,5422.47,5455.88,5413.32,5443.53
4/19/2017,5416.3,5431,5392.28,5399.64
4/18/2017,5383.74,5405.54,5377.91,5391.66
4/17/2017,5369.21,5399.2,5367.59,5399.2
4/13/2017,5370.69,5398.99,5353.59,5353.59
4/12/2017,5394.61,5399.55,5370.24,5377.03
4/11/2017,5413.91,5422.79,5359.14,5398.4
4/10/2017,5423.57,5442.71,5406.58,5421.68
4/7/2017,5420.94,5434.18,5400.08,5418.37
4/6/2017,5423.65,5435.06,5407.87,5420.88
4/5/2017,5447.27,5479.86,5409.04,5418.52
4/4/2017,5415.53,5441.34,5415.3,5440.41
4/3/2017,5440.2,5453.44,5403.31,5432.2
3/31/2017,5430.99,5451.5,5427.5,5436.23
3/30/2017,5430.31,5446.51,5425.3,5439.74
3/29/2017,5410.14,5433.36,5405.1,5430.27
3/28/2017,5371.9,5422.25,5363.29,5407.21
3/27/2017,5320.96,5383.22,5316.02,5374.27
3/24/2017,5376.74,5392.28,5345.94,5364
3/23/2017,5356.71,5375.43,5346.3,5355.14
3/22/2017,5332.64,5372.27,5327.25,5367.55
3/21/2017,5433.28,5439.58,5328.71,5332.53
3/20/2017,5406.02,5426.47,5400.16,5413.31
3/17/2017,5413.47,5423.28,5406.81,5408.76
3/16/2017,5421.46,5423.66,5399.27,5412.08
3/15/2017,5392.48,5426.84,5375.88,5416.25
3/14/2017,5382.79,5384.88,5360.7,5382.17
3/13/2017,5387.73,5396.39,5382.02,5394.57
3/10/2017,5390.46,5394.66,5364.1,5385.9
3/9/2017,5355.78,5370.66,5336.08,5363.98
3/8/2017,5351.35,5375.77,5348.73,5359.8
3/7/2017,5348.2,5373.26,5341.43,5351.28
3/6/2017,5352.61,5368.27,5338.61,5360.31
3/3/2017,5355.21,5373.48,5344.48,5373.48
3/2/2017,5386.34,5387.73,5355.53,5363.26
3/1/2017,5368.65,5398.43,5355.38,5390.99
2/28/2017,5344.18,5347.47,5316.7,5330.31
2/27/2017,5330.56,5347.88,5322.13,5347.55
2/24/2017,5305.23,5343.31,5304.01,5343.31
2/23/2017,5358.03,5358.53,5309.99,5332.37
2/22/2017,5345.18,5354.73,5335.8,5352.13
2/21/2017,5334.57,5353.16,5330.47,5350.73
2/17/2017,5295.49,5324.72,5291.7,5324.72
2/16/2017,5306.38,5316.79,5287.54,5300.64
2/15/2017,5266.12,5304.34,5264.44,5302.39
2/14/2017,5251.36,5271.1,5238.69,5271.07
2/13/2017,5242.49,5262.42,5241,5256.82
2/10/2017,5219.81,5234.27,5212.83,5226.69
2/9/2017,5200.17,5221.62,5196.07,5212.16
2/8/2017,5176.5,5201.57,5168.98,5196.58
2/7/2017,5178.85,5196.27,5174.34,5185.88
2/6/2017,5154.18,5167.96,5148.06,5167.96
2/3/2017,5153.61,5165.47,5147.58,5161.6
2/2/2017,5141.28,5162.56,5128.76,5147.7
2/1/2017,5157.83,5162.46,5128.9,5152.69
1/31/2017,5107.47,5116.8,5086.33,5116.77
1/30/2017,5146.41,5146.88,5098.34,5129.33
1/27/2017,5169.49,5172.43,5150.18,5168.06
1/26/2017,5164.12,5168.2,5148.85,5156.92
1/25/2017,5132.87,5153.18,5129,5151.47
1/24/2017,5079.61,5108.22,5068.37,5101.06
1/23/2017,5055.97,5073.24,5035.49,5065.7
1/20/2017,5070.15,5085.34,5050.02,5063.2
1/19/2017,5061.1,5078.41,5041.21,5051.17
1/18/2017,5050.26,5058.2,5039.18,5055.85
1/17/2017,5043.07,5053.2,5029.61,5044.65
1/13/2017,5047.56,5066.95,5045.92,5059.51
1/12/2017,5029.28,5044.36,4995.07,5041.43
1/11/2017,5033.88,5050.21,5012.65,5050.21
