,nasdaq100,world_bond,us_bond,reits,emerg_equity,commodity,S&P500,Interest_rate
0.0,6334.157511412599,189.54611073193865,2042.0458271856053,384.42303811234797,1164.2254492107106,2563.3630933043783,5205.513721335639,1.693156617815153
1.0,6224.835252493369,189.63437764005224,2045.7137398442514,376.79918641057225,1167.9333209664765,2548.650628826227,5131.013460706667,1.6921866567793558
2.0,6113.58641315579,189.64341593529318,2044.5255440572314,377.50395574337443,1176.7995056998627,2603.288919340683,5118.638205132942,1.6911257866371965
3.0,5942.870809594367,189.86966634787237,2054.682134395809,381.36298546767995,1161.0468271825193,2651.746264866686,5140.086458253222,1.690214436616638
4.0,5913.8444679898375,190.04351691608542,2051.6365124121808,373.94755802271357,1156.33346600962,2632.0422592240534,5159.380679003416,1.689176047890806
5.0,5963.064543973789,190.34700036035883,2058.4772449819793,380.31508229565713,1161.3282731473157,2597.621864906168,5171.896221842118,1.6881112951206796
6.0,5920.4264029022115,190.66976408279967,2056.8080048985958,383.0942684437548,1173.3801486679804,2669.7437947562644,5180.438295496135,1.6871175504726987
7.0,6109.77812275893,190.66095803326297,2051.192497379753,385.35066970605595,1158.3317355289655,2654.4851383266277,5187.807875640735,1.6861136609281528
8.0,6329.503267399812,190.57077044974764,2049.079370148424,393.6059068438845,1166.5612007358286,2684.3397137673287,5230.199199761139,1.684998658308958
9.0,6221.845766503056,190.342139112412,2048.129629800153,391.8351462030523,1173.2759925500914,2632.614828681945,5201.245702837341,1.6840385427761269
10.0,6126.268625072929,190.170407886621,2043.9905820000558,379.2826759104769,1168.5193954110225,2642.556503712344,5203.450619829925,1.6827884518410483
11.0,6248.407954632243,190.32408468213498,2048.510443932606,391.07190052625276,1158.8543094310667,2679.7460176808117,5213.297218478796,1.6817728761441213
12.0,6413.380336732448,190.44148202202362,2047.2393218286745,400.8227332523853,1159.3210734910385,2666.7661056704605,5202.83343524035,1.680811324056593
13.0,6328.1433445098355,190.42896707585132,2047.746001846785,384.09408087968364,1154.9997871635999,2582.4908223650855,5192.771081495062,1.6797535695422414
14.0,6164.485732005088,190.08926008508163,2041.8065891651265,385.77033893452517,1140.54402390393,2557.4416128419975,5147.8407405068465,1.6788284423797728
15.0,6178.937177711205,190.1031967562182,2045.1469843462403,390.35190816159997,1146.4675847805352,2513.8338993873094,5144.1582680530655,1.6778082567489296
16.0,6183.906647488439,190.0396175562776,2042.5024567141759,389.797620968012,1143.249345815514,2474.8851557716403,5160.620142885158,1.676616253579374
17.0,6279.538480062395,189.92356973650368,2043.9847759113272,391.7811303145502,1143.3079745875746,2488.440545119682,5189.05997493431,1.6755178065568825
18.0,6242.497952581325,189.87430432770725,2043.398995210244,393.47663510059294,1147.4450810650503,2441.8852332102038,5195.382441878439,1.6745197806173024
19.0,6261.698591910337,190.20675550936167,2040.4694486984356,401.7019610728792,1146.5571350716452,2409.336900320696,5203.985755799531,1.6733533735794284
